Tile ID,Matched Ratio
40152,0.2600896860986547
40155,0.4268817204301075
40157,0.5217391304347826
30150,0.41148325358851673
990147,0
40180,0
40182,0
40185,0
30162,0
40187,0
32200,0
40190,0
30165,0
40192,0
30167,0
40202,0
990150,0
40205,0
30170,0
40207,0
912120,0
40210,0
40212,0
5140,0
40215,0
30175,0
40217,0
912122,0
40220,0
30177,0
990152,0
40235,0
30180,0
912125,0
30182,0
30185,0
40247,0
40250,0
30187,0
40252,0
990155,0
40255,0
30190,0
40257,0
40260,0
30192,0
5142,0
42152,0
30195,0
42155,0
42157,0
30197,0
990157,0
30200,0
30202,0
32202,0
42172,0
30205,0
42175,0
30207,0
42180,0
990160,0
42182,0
30210,0
42185,0
42187,0
30212,0
42190,0
42192,0
30215,0
42195,0
915120,0
42197,0
30217,0
42200,0
990162,0
42202,0
30220,0
42205,0
915122,0
42207,0
30222,0
42210,0
42212,0
30225,0
42215,0
915125,0
42217,0
30227,0
42220,0
990165,0
42222,0
42225,0
915127,0
42227,0
30232,0
30235,0
30237,0
990167,0
42242,0
30240,0
42245,0
915132,0
42247,0
30242,0
42250,0
32205,0
42252,0
30245,0
42255,0
915135,0
42257,0
30247,0
990170,0
30250,0
915137,0
45155,0
30252,0
45157,0
5150,0
30255,0
30257,0
990172,0
30260,0
45172,0
30262,0
45180,0
45182,0
917120,0
45185,0
45187,0
990175,0
45190,0
32150,0
45192,0
917122,0
45195,0
32152,0
45197,0
5152,0
45200,0
32155,0
45202,0
917125,0
45205,0
32157,0
45207,0
990177,0
45210,0
32160,0
45212,0
917127,0
45215,0
32162,0
45217,0
32207,0
45220,0
32165,0
45222,0
917130,0
45225,0
32167,0
45227,0
990180,0
917132,0
32172,0
5155,0
32175,0
917135,0
32177,0
45247,0
990182,0
45250,0
32180,0
45252,0
917137,0
32182,0
32185,0
917140,0
32187,0
47155,0
990185,0
47157,0
32190,0
47160,0
47162,0
32192,0
5157,0
32195,0
32197,0
990187,0
47177,0
32210,0
47180,0
920120,0
47182,0
47185,0
32212,0
47187,0
47190,0
920122,0
47192,0
32215,0
47195,0
990190,0
47197,0
47200,0
920125,0
47202,0
32217,0
47205,0
5160,0
47207,0
47210,0
920127,0
47212,0
32220,0
47215,0
990192,0
47217,0
920130,0
47220,0
32222,0
47222,0
32225,0
920132,0
990195,0
32227,0
47245,0
920135,0
47247,0
5162,0
47252,0
32230,0
920137,0
920140,0
990200,0
5165,0
922122,0
990202,0
922125,0
922127,0
990205,0
922130,0
5167,0
922132,0
990207,0
922135,0
922137,0
990210,0
922140,0
5170,0
990212,0
32235,0
990215,0
925122,0
5172,0
925125,0
925127,0
925130,0
992155,0
925132,0
5175,0
925135,0
992157,0
925137,0
32237,0
925140,0
992160,0
925142,0
5177,0
925145,0
992162,0
925147,0
992165,0
5180,0
992167,0
32240,0
992170,0
5182,0
992172,0
992175,0
927125,0
5185,0
927127,0
927130,0
32242,0
927132,0
927135,0
5187,0
927137,0
992182,0
927140,0
927142,0
992185,0
5190,0
927147,0
992187,0
927150,0
32245,0
927152,0
992190,0
927155,0
5192,0
992192,0
927160,0
927162,0
992195,0
927165,0
5197,0
927167,0
992197,0
927170,0
32247,0
992200,0
5200,0
930125,0
930127,0
930130,0
930132,0
5205,0
930135,0
930137,0
32250,0
930140,0
992210,0
930142,0
5207,0
930145,0
992212,0
930150,0
930152,0
5210,0
930155,0
992222,0
930157,0
32252,0
930160,0
930162,0
5212,0
930165,0
992230,0
930167,0
930170,0
992232,0
930172,0
5215,0
992235,0
32255,0
932127,0
932130,0
5220,0
932132,0
932135,0
932137,0
995147,0
932140,0
5222,0
932142,0
995150,0
932145,0
32257,0
932147,0
995152,0
932150,0
5225,0
932152,0
995155,0
932155,0
932157,0
995157,0
932160,0
5227,0
932162,0
995165,0
32260,0
932167,0
995167,0
932170,0
5230,0
932172,0
995170,0
995172,0
935127,0
5232,0
995175,0
935132,0
32262,0
935135,0
995177,0
935137,0
5235,0
935140,0
995180,0
935142,0
935145,0
995182,0
935147,0
5237,0
935150,0
995185,0
935155,0
995187,0
935157,0
5240,0
935160,0
995190,0
935162,0
935165,0
995192,0
935167,0
5242,0
935170,0
995195,0
935172,0
35150,0
995197,0
5250,0
995200,0
937130,0
937132,0
995202,0
937135,0
937137,0
995207,0
937140,0
35152,0
937142,0
995210,0
937147,0
995212,0
937150,0
937152,0
995215,0
937155,0
7140,0
937157,0
995217,0
937160,0
35155,0
937162,0
995220,0
937165,0
7142,0
937167,0
937170,0
937172,0
940130,0
940132,0
35157,0
940135,0
940137,0
940140,0
940142,0
940147,0
7150,0
940150,0
940152,0
35160,0
940155,0
940157,0
7152,0
940160,0
940162,0
940165,0
997147,0
940167,0
7155,0
940170,0
997150,0
940172,0
997152,0
7165,0
942132,0
997155,0
942135,0
942137,0
997157,0
942140,0
7170,0
942142,0
997160,0
942145,0
942147,0
997162,0
942150,0
7172,0
942152,0
997165,0
942155,0
942157,0
997167,0
